state,n,mean,std,min,p25,median,p75,max
0,324,33.12748724828117,13.591890766260969,19.92568462254944,26.131144526118696,29.69996288991888,35.106835561316096,106.53684026651165
1,553,39.42129663350097,10.999400520382787,20.478705367036003,32.56960185980048,37.2573723550076,43.6637203753163,106.25598813260086
2,381,45.54496112216083,9.350201011299433,25.554373724830516,38.70401280631744,44.96695496135317,51.0785840678724,87.33136530768873
