date,true_rv,state,pred_rv,pred_source,true_vol,pred_vol
2020-01-31,0.024100964325432,,0.0124423275677116,direct prediction column,15.52448528146167,11.154518173238861
2020-02-03,0.0097801094103532,,0.0192942839867169,direct prediction column,9.889443568954322,13.890386598909657
2020-02-04,0.0052258331769161,,0.0122519396056277,direct prediction column,7.228992444951163,11.068848000414361
2020-02-05,0.0063930309543141,,0.0081750322889358,direct prediction column,7.995643160067925,9.041588515817228
2020-02-06,0.002184652061154,,0.0034064143897163,direct prediction column,4.674026167186058,5.836449596900756
2020-02-07,0.0061600206636793,,0.004091421836132,direct prediction column,7.8485799121110436,6.396422309488329
2020-02-10,0.0039517450405467,,0.0040699218547345,direct prediction column,6.2862906714108435,6.379593917119256
2020-02-11,0.0054170189260108,,0.0031111782868163,direct prediction column,7.360040031148472,5.577793727645636
2020-02-12,0.0013527503092227,,0.0037973658526938,direct prediction column,3.677975406691431,6.162277056976423
2020-02-13,0.0060396118007265,,0.0029780367831081,direct prediction column,7.771493936642104,5.457139161784405
2020-02-14,0.0025907540715065,,0.0030785558734809,direct prediction column,5.0899450601224565,5.548473549978318
2020-02-18,0.0066949632592975,,0.0029611333223179,direct prediction column,8.182275514364875,5.4416296477414745
2020-02-19,0.0025610361809362,,0.0032255295235604,direct prediction column,5.06066811887146,5.679374546162983
2020-02-20,0.0268984223909118,,0.0029816397576148,direct prediction column,16.40073851718629,5.4604393208008455
2020-02-21,0.0083243957886546,,0.0032950970741785,direct prediction column,9.123812683661695,5.740293611113024
2020-02-24,0.1779743056275961,,0.0058922371003365,direct prediction column,42.18700103439401,7.676090867320749
2020-02-25,0.0853491809767783,,0.0211266729913829,direct prediction column,29.214582142618145,14.535017368886388
2020-02-26,0.062850607206918,,0.0857204270586079,direct prediction column,25.070023375920098,29.278051003884787
2020-02-27,0.2005914272070313,,0.0157745610276772,direct prediction column,44.787434309974856,12.559681933742272
2020-02-28,0.160854805574393,,0.0930680939573811,direct prediction column,40.10670836336397,30.507063765197252
2020-03-02,0.1740231555508593,,0.179077053331783,direct prediction column,41.716082696108856,42.31749677518544
2020-03-03,0.267241899217263,,0.0227993220134008,direct prediction column,51.69544459788145,15.099444365075426
2020-03-04,0.0804551004278408,,0.0260984268769462,direct prediction column,28.364608304688577,16.155007544704585
2020-03-05,0.090737504672216,,0.0094603152575625,direct prediction column,30.122666660210545,9.726415196547235
2020-03-06,0.0854758390735578,,0.0907413929350136,direct prediction column,29.236251311267285,30.123312058107686
2020-03-09,0.1855221860989168,,0.2063209177352307,direct prediction column,43.072286461124484,45.4225624260929
2020-03-10,0.3431990528181154,,14.050236640337342,direct prediction column,58.583193222810536,374.83645287428146
2020-03-11,0.150978587694819,,0.0179655644665026,direct prediction column,38.8559632096309,13.403568355666561
2020-03-12,0.5915366584787065,,0.2563450408722236,direct prediction column,76.91142037946682,50.63052842625915
2020-03-13,0.9305371381638644,,2.261665220333723,direct prediction column,96.46435290633863,150.38833798980966
2020-03-16,0.7855588372105687,,0.0002251890310694,direct prediction column,88.63175713087091,1.5006299712767301
2020-03-17,0.6618887567168484,,7.025245545064139,direct prediction column,81.3565459392696,265.0517976747967
