date,y_true,y_iohmm,y_har,y_garch,dom_state
2019-06-12,-10.984297731659128,-13.45560761459188,-11.111468681524865,-9.546313907880252,0
2019-06-13,-13.60662318338727,-12.073905756465484,-11.238242210492679,-9.737715579654456,0
2019-06-14,-15.682942637086768,-12.017272328896453,-11.411014793322554,-9.909017352854265,0
2019-06-17,-9.128621287660714,-11.469990358195558,-11.841825752167392,-10.09184441983287,1
2019-06-18,-12.187555043752557,-11.10743120857886,-12.082866860690423,-10.28863834862502,1
2019-06-19,-9.310930509374872,-10.89384026026992,-11.457548860115548,-9.934758093783456,1
2019-06-20,-10.132080779558073,-11.425604097313519,-11.461234835263966,-10.127445446773987,1
2019-06-21,-13.402678617283154,-11.7504262749789,-11.297644142202294,-9.92446514615453,1
2019-06-24,-9.239173981211351,-11.764236427602695,-11.247936431967634,-9.862201075413456,0
2019-06-25,-13.809696607321904,-11.488556090188217,-11.248082886149025,-10.039167615109024,1
2019-06-26,-11.286628321410236,-10.695058092278906,-11.277333900356878,-9.685995231162426,0
2019-06-27,-10.543905067310096,-10.77138230173181,-11.284665908879887,-9.881191039635643,0
2019-06-28,-9.412612148701045,-11.027246047195861,-11.446258745048883,-10.048922811365998,0
2019-07-01,-11.902302712409549,-11.68904733272958,-11.483131073319672,-10.140684221339122,1
2019-07-02,-9.665657305622625,-10.64965428675948,-11.30646177003652,-9.970154844227265,1
2019-07-03,-13.5483661967909,-11.612571501285705,-11.538173590675843,-10.151542989440829,0
2019-07-05,-10.40206188132607,-11.33341317876748,-11.385364232207852,-10.057449128208965,0
2019-07-08,-13.369605632066493,-10.880530390681486,-11.564683969837532,-10.217088113836295,1
2019-07-09,-10.691782193552593,-10.5886073249686,-11.576654828951504,-10.12688321395708,0
2019-07-10,-12.112111315077318,-11.156260061759273,-11.79374310237145,-10.309764296743856,1
2019-07-11,-10.82159346143908,-11.551640614672639,-11.783624032584438,-10.37807668351743,0
2019-07-12,-15.930720992887087,-11.023122696213779,-12.016909205385513,-10.528681104849305,0
2019-07-15,-11.469287232093338,-11.545523494795475,-11.908895127418461,-10.57602073382154,1
2019-07-16,-9.973150897829969,-11.420257488933725,-12.101328809352193,-10.717399940627027,1
2019-07-17,-11.222999235410652,-11.220159568741332,-12.022309641978655,-10.6567168321098,0
2019-07-18,-10.380256728759155,-11.76247541826307,-11.874200340012099,-10.286606860559823,1
2019-07-19,-12.018877811080559,-12.135783531463105,-11.84462025922555,-10.408072107998862,1
2019-07-22,-9.888199005657766,-11.388294837573286,-11.842154377472005,-10.256919415205644,0
2019-07-23,-10.72481588670888,-11.24656199146835,-11.832741200370748,-10.415906250138294,1
2019-07-24,-10.6826297515583,-11.49221741329373,-11.735901407570102,-10.302861974670556,0
2019-07-25,-10.01774295838021,-11.605306044685221,-11.813308789897803,-10.376771377770273,1
2019-07-26,-12.611700168721919,-11.600198882000573,-11.77470800397802,-10.295762759228971,0
2019-07-29,-12.015399821798132,-11.989766640036848,-11.771223360089948,-10.251317569701744,1
2019-07-30,-9.019505612170306,-11.8436557673004,-11.791930619367903,-10.36751927506326,1
2019-07-31,-9.47817443180681,-11.995727776835158,-11.917886495533626,-10.437623410097931,1
2019-08-01,-9.77012187062229,-11.009607099790665,-11.608076038574197,-9.791417650904805,0
2019-08-02,-6.977781384434894,-11.071970859664514,-11.533400751559764,-9.62474155060848,1
2019-08-05,-8.548016781790489,-11.08238173897499,-11.491227031731247,-9.580381616533055,0
2019-08-06,-14.840608287508456,-10.136612444933055,-10.675287391207723,-8.107680714589584,0
2019-08-07,-7.881838753035673,-10.386856646457142,-10.594649633877598,-8.221567326540807,1
2019-08-08,-9.971233456033952,-10.73757786476305,-10.670292236205654,-8.496266654048954,0
2019-08-09,-8.804712613104156,-10.752468891941868,-10.48574098588499,-8.340305826336854,1
2019-08-12,-8.342579564172953,-10.41481516229934,-10.441467780947605,-8.530583128526066,1
2019-08-13,-7.012204327762872,-10.680824987420342,-10.656766756383986,-8.547666791433874,0
2019-08-14,-11.873811470947905,-11.135786793902195,-10.603539924722853,-8.523306912691208,1
2019-08-15,-8.446964282127,-9.89806865737259,-10.230916715659921,-7.847646302227573,0
2019-08-16,-8.84967966334577,-10.453907061792457,-10.357703313603368,-8.122962119466914,0
2019-08-19,-9.734967383334915,-11.031547714864207,-10.271940584245868,-8.21205705038569,1
2019-08-20,-9.631001436749374,-11.37851218468446,-10.265295275737712,-8.350397858052336,1
2019-08-21,-16.071282370109245,-10.918288566850189,-10.314771066458373,-8.520279972558697,1
2019-08-22,-7.297524878543675,-13.023240577219983,-10.65807680966417,-8.709644295176156,0
2019-08-23,-9.020049600944308,-12.937219001856683,-10.721575654447335,-8.969276091092073,1
2019-08-26,-11.076900184448203,-11.37950860176234,-10.359736501753149,-8.198146202482537,0
2019-08-27,-9.918661841832632,-11.327838254017534,-10.3755548944672,-8.354528372153133,1
2019-08-28,-8.733497780602708,-10.784977581908661,-10.411988800400932,-8.58177913581688,0
2019-08-29,-15.388458758286582,-11.021281984694088,-10.40555513017997,-8.780334621119412,1
2019-08-30,-10.277422812215246,-11.05724945790849,-10.324640019374385,-8.795259105149245,0
2019-09-03,-8.968221286781159,-11.498401081171679,-10.76896099828472,-9.042294773415083,0
2019-09-04,-8.720710079517232,-10.954907878714886,-10.829685737680268,-9.175383645177556,1
2019-09-05,-14.316628953984837,-10.60382342343325,-10.688175355800983,-9.153154143689505,1
2019-09-06,-15.15021119367625,-10.972395157779522,-10.651877398940636,-9.067981921562788,0
2019-09-09,-16.54690859428199,-10.54205927898063,-10.856435715277435,-9.312642587459782,0
2019-09-10,-9.899122574716005,-11.864969712187772,-10.863398350304216,-9.550600733152315,0
2019-09-11,-11.333395870411458,-13.05360911483186,-10.951846120349,-9.776254205798438,1
2019-09-12,-14.61181348672894,-12.190131749527984,-11.036608552942335,-9.825597561664676,1
2019-09-13,-11.555838431240852,-13.292495889573253,-11.500548326275878,-10.01539539002821,0
2019-09-16,-11.95844617372493,-12.513445177222488,-11.538957327364955,-10.206342230433936,1
2019-09-17,-14.816381756849022,-11.112263207929187,-11.590528332716605,-10.273551225603347,0
2019-09-18,-18.054584141921847,-11.703403538146729,-11.561643889357754,-10.4462952165513,0
2019-09-19,-9.346071220006426,-11.493333995032632,-11.97450541558872,-10.620063348984207,0
2019-09-20,-16.54736266027676,-11.697099805078158,-12.209309294801852,-10.76313851377546,0
2019-09-23,-9.687263378750027,-11.27355990112449,-11.50685276790717,-10.022615827996093,0
2019-09-24,-10.266221471100119,-12.060759525261183,-11.58359382846127,-10.213310677168144,0
2019-09-25,-12.343340436274246,-11.855135186505382,-11.374911098585052,-9.92907055566291,0
2019-09-26,-10.441707382319954,-11.881793539388935,-11.457855046092238,-10.005201111006544,0
2019-09-27,-10.751208200060963,-11.666375947491998,-11.497442971975229,-10.148134756835391,0
2019-09-30,-8.8512957891743,-12.98049449834089,-11.618895358679463,-10.082895661506234,0
2019-10-01,-8.054547840664188,-12.229060076652788,-11.575111112730777,-10.192765420759795,0
2019-10-02,-9.617015649265918,-11.36444769811602,-11.418340572626768,-9.571808350814898,0
2019-10-03,-8.618782336987069,-10.825866479174419,-11.024785414073914,-8.872449620783009,1
2019-10-04,-10.886617414516815,-10.826934114102588,-10.981076378097097,-9.025589777842605,1
2019-10-07,-8.31497508010227,-10.80399794393114,-10.878675078711389,-8.944758892311519,1
2019-10-08,-9.32303649308959,-10.866126440979592,-10.927780796931,-9.136577352307262,1
2019-10-09,-9.998957389693231,-10.642869938451401,-10.807169009356414,-8.805482795538218,1
2019-10-10,-9.148490506951747,-11.55032683367038,-10.845208209446929,-8.927329668229357,1
2019-10-11,-13.590882040678949,-12.01376486542772,-10.86163226910243,-9.108981078835471,0
2019-10-14,-9.240137945115778,-12.09334590264816,-10.896639595205516,-9.14463628806381,0
2019-10-15,-12.862506546140617,-11.419836594918339,-10.974793015902307,-9.379718362281979,1
2019-10-16,-11.654318261276899,-13.04237262572627,-11.04636434447297,-9.374021102249966,0
2019-10-17,-10.857803943049587,-12.465912293107094,-11.218421509826626,-9.58951647665521,1
2019-10-18,-9.994342535295258,-12.479984264110028,-11.265326620383277,-9.803880551010113,1
2019-10-21,-11.443738737367754,-12.613037994356342,-11.462082427151447,-9.879547948926847,0
2019-10-22,-11.681211548505427,-12.630097765627761,-11.322481271667565,-9.921066313667286,1
2019-10-23,-12.831392610426143,-12.394522360272473,-11.635605337173104,-10.02932959689283,1
2019-10-24,-10.999473271989997,-12.964132955576689,-11.611037430752827,-10.209959781947106,0
2019-10-25,-10.362275222314507,-12.805204625215412,-11.663601378418845,-10.397687684100056,1
2019-10-28,-16.13757238676225,-12.858007037216492,-11.65300783638035,-10.487416077339715,1
2019-10-29,-11.575940455789969,-12.759475404036051,-11.714291119410973,-10.457693975945153,0
2019-10-30,-11.852277755551546,-11.899113723273677,-11.866549472053102,-10.607219430273144,0
2019-10-31,-9.372364379624344,-11.81313243642348,-11.79835654146164,-10.712898393476367,0
2019-11-01,-11.037477738685574,-11.578238431326238,-11.796275647601396,-10.690320584499226,0
2019-11-04,-13.604507958971306,-11.992362384348187,-11.51366811729758,-10.233691745611686,0
2019-11-05,-16.596473309974467,-11.58857248869701,-11.59856002409777,-10.35579329798049,0
2019-11-06,-11.303150167211527,-11.50621024585925,-11.67490235179836,-10.491561574850857,0
2019-11-07,-12.011032634433219,-11.41283264486986,-11.75517674101363,-10.646939707094955,0
2019-11-08,-12.51692790067261,-12.112663038119104,-11.752028600550123,-10.72442367309334,0
2019-11-11,-12.323909124392697,-11.871302692154536,-12.273957747013409,-10.836864025919215,0
2019-11-12,-15.980843170564622,-12.338456968322188,-12.474510510840656,-10.83999994878074,0
2019-11-13,-13.061167122169534,-12.197530952936688,-12.473580322534964,-10.946994050368096,0
2019-11-14,-9.864291243539878,-12.249356379208074,-12.516702185940174,-11.046020154087712,0
2019-11-15,-14.40669267754332,-12.091486853851368,-12.746619498767902,-11.138650554032234,1
2019-11-18,-16.188339706723323,-12.001750042382596,-12.123324474198562,-10.68992456363986,0
2019-11-19,-11.184266518374178,-11.776439767401058,-12.203725464212894,-10.833841766931117,0
2019-11-20,-12.858940995219914,-11.139248061187672,-12.26997405004797,-10.933204735336805,1
2019-11-21,-12.217203373686049,-11.14975471074024,-12.14336878204464,-10.739880812198273,1
2019-11-22,-9.727629515882214,-11.51819651283116,-12.167102400831677,-10.790179635303307,0
2019-11-25,-12.180086789341091,-11.209863163976635,-12.632326599026008,-10.905379546779319,1
2019-11-26,-10.830259913345884,-11.255474129638609,-12.022776040782382,-10.518377259652626,0
2019-11-27,-11.189721686767175,-11.652314628814528,-12.035349235915277,-10.67130172764195,1
2019-11-29,-9.52795300236366,-12.120546459668029,-12.00097333127778,-10.69479060521892,1
2019-12-02,-10.002397437888472,-11.691775840007685,-11.947669108911136,-10.588020641366754,1
2019-12-03,-10.181919070450954,-11.743046615393412,-11.677865877396492,-10.035868170653911,0
2019-12-04,-12.64088997980803,-10.978183998391675,-11.69725134157661,-9.901582671540963,1
2019-12-05,-9.400470762652857,-11.649591234528536,-11.649145295945026,-9.97868323528715,0
2019-12-06,-11.520283935902814,-11.597113223054096,-11.724029437657137,-10.189795633783687,0
2019-12-09,-13.588514123680225,-11.42061208802693,-11.500184391421284,-9.98290892488444,0
2019-12-10,-11.730416417117144,-12.030956114218935,-11.623074993118149,-10.088219338525363,0
2019-12-11,-9.516020924363568,-12.452625076389904,-11.763172007709848,-10.259868665995457,1
2019-12-12,-14.813165634076697,-12.58774832201346,-11.857699409686468,-10.424693094499458,1
2019-12-13,-9.96781558626322,-12.784817841404115,-11.59143804533857,-10.170680266764926,0
2019-12-16,-16.662805975280467,-12.314205655414721,-11.899359192905877,-10.366692344046376,1
2019-12-17,-18.090498070469753,-13.351494393994662,-11.70580656434565,-10.286642339052078,0
2019-12-18,-10.99752185135763,-12.81714123905013,-11.753475686285805,-10.467886355843946,0
2019-12-19,-15.050843317523473,-12.815993779342872,-11.81142187074697,-10.627130973750756,1
2019-12-20,-12.965183854964843,-11.339475739310645,-12.032745789009356,-10.68397276487772,0
2019-12-23,-18.328008392440413,-11.018241270973023,-12.059158696591332,-10.79827167963733,0
2019-12-24,-10.476294858128488,-12.391146601792757,-12.563197333236555,-10.929384797030785,0
2019-12-26,-16.45484705299362,-11.607816373778094,-12.599699839071402,-11.027634811059295,0
2019-12-27,-10.395359080472044,-11.607602094452787,-12.153610070199168,-10.874609695386047,1
2019-12-30,-12.041036068775096,-12.431021020683918,-12.40324132542067,-10.97254422883168,0
2019-12-31,-9.353546881012003,-12.821030397486295,-12.059161536872576,-10.552661316697332,0
2020-01-02,-9.758765120570379,-12.681464499270204,-12.051520901006691,-10.698513602236845,0
2020-01-03,-11.140721425499477,-11.657899148990442,-11.638449386536434,-10.243546136803145,1
2020-01-06,-11.743801400609364,-11.3528515559369,-11.570132766424837,-9.953292492339083,1
2020-01-07,-10.47394604823858,-11.690098941039091,-11.558614327878399,-10.128618348948855,1
2020-01-08,-9.993907501454268,-11.27544504347101,-11.628510740193569,-10.226517915783589,1
2020-01-09,-11.697439578631139,-11.24843970357691,-11.557014435775585,-10.290231640914685,0
2020-01-10,-9.96568937994175,-11.43378498173695,-11.662759438450202,-10.242394886544343,1
2020-01-13,-12.966204868057378,-11.63669293995205,-11.870284180268303,-10.314782018223106,1
2020-01-14,-12.185204512337172,-11.941455597372617,-11.690783287048388,-10.253113147203079,1
2020-01-15,-9.586718152661842,-12.096791277983188,-11.790526149649994,-10.390675093649124,1
2020-01-16,-11.54671175861194,-12.052490032316369,-11.882701304082232,-10.559434703304687,1
