Date,y,state,p_Low Vol,p_Mid Vol,p_High Vol
2019-01-02,-1.0420348919350217,2,2.313049214750211e-13,2.461220037529089e-15,0.9999999999997726
2019-01-03,-0.9953931945077328,2,0.003502055138677603,0.0002380484319341424,0.9962598964293788
2019-01-04,-0.89830300309135,2,1.2982894970931967e-05,1.1612105157353778e-13,0.9999870171049362
2019-01-07,-0.9232524970197629,2,0.006900976249577355,0.002580586677199616,0.9905184370732403
2019-01-08,-1.0156858617078175,2,0.004547496165943736,0.0005001553455435977,0.994952348488536
2019-01-09,-1.163751848793614,2,0.0022809611585100638,0.0036931891290015273,0.994025849712478
2019-01-10,-1.5118795135737224,2,0.11849548592212374,0.05005818026822037,0.8314463338096594
2019-01-11,-1.5091686863884197,2,0.017296982271189584,0.002433885316562816,0.9802691324122595
2019-01-14,-1.4881322798079717,2,0.05247302827615729,0.0004793722991030323,0.9470475994247435
2019-01-15,-1.4792454292360784,2,0.08259264457955444,0.0004638230141829178,0.9169435324062695
2019-01-16,-1.4810535513166618,2,0.07075492183847278,0.00022718718785388824,0.9290178909736928
2019-01-17,-1.812374134745666,2,0.18201376211645112,0.06340041307330643,0.7545858248102146
2019-01-18,-2.3994690735484636,1,0.4061717766059634,0.55147616843218,0.04235205496185816
2019-01-22,-2.0395853738597283,2,0.1198121635573322,0.2913752336851674,0.588812602757492
2019-01-23,-2.0744735053745575,1,0.2909315362990018,0.556251356104423,0.15281710759655265
2019-01-24,-2.0763123866373756,1,0.33348292186531775,0.5121167657268892,0.154400312407817
2019-01-25,-2.045914368049782,1,0.3139981049549945,0.5252988508600287,0.1607030441849613
2019-01-28,-1.9729179752454644,1,0.3740253839551514,0.5004258663384149,0.12554874970642002
2019-01-29,-2.0148185509625463,1,0.34931136535977797,0.4783039114054397,0.17238472323480833
2019-01-30,-1.9450548270787138,2,0.08243208236095434,0.067811227294673,0.8497566903443549
2019-01-31,-1.923638419773459,0,0.46159524902598853,0.25614010731226544,0.28226464366177384
2019-02-01,-1.9330282684869278,1,0.3058861655829914,0.3644831256046995,0.3296307088123154
2019-02-04,-2.0020535443367544,1,0.3826618968162933,0.5161531696994364,0.10118493348425835
2019-02-05,-2.272083141012694,0,0.5710602867397616,0.4016333114368242,0.027306401823434266
2019-02-06,-2.243581581826856,1,0.45069634924301394,0.5282351045279238,0.021068546229043538
2019-02-07,-2.083522505171831,1,0.22724020031838793,0.5724300789248468,0.20032972075678854
2019-02-08,-2.1201592205616344,1,0.32060341805642756,0.49535496209702573,0.18404161984655887
