Price,Adj Close,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY,SPY
Date,,,,,,
2019-01-02,224.3824920654297,250.17999267578125,251.2100067138672,245.9499969482422,245.97999572753906,126925200
2019-01-03,219.0281524658203,244.2100067138672,248.57000732421875,243.6699981689453,248.22999572753906,144140700
2019-01-04,226.3647003173828,252.38999938964844,253.11000061035156,247.1699981689453,247.58999633789062,142628800
2019-01-07,228.14944458007812,254.3800048828125,255.9499969482422,251.69000244140625,252.69000244140625,103139100
2019-01-08,230.29296875,256.7699890136719,257.30999755859375,254.0,256.82000732421875,102512600
2019-01-09,231.36927795410156,257.9700012207031,258.9100036621094,256.19000244140625,257.55999755859375,95006600
2019-01-10,232.18545532226562,258.8800048828125,259.1600036621094,255.5,256.260009765625,96823900
2019-01-11,232.275146484375,258.9800109863281,259.010009765625,257.0299987792969,257.67999267578125,73858100
2019-01-14,230.8580322265625,257.3999938964844,258.29998779296875,256.4100036621094,256.8599853515625,70908200
2019-01-15,233.50390625,260.3500061035156,260.70001220703125,257.80999755859375,257.82000732421875,85208300
2019-01-16,234.06887817382812,260.9800109863281,261.9700012207031,260.6000061035156,260.8299865722656,77636700
2019-01-17,235.84469604492188,262.9599914550781,263.9200134277344,259.9599914550781,260.010009765625,96118400
2019-01-18,238.9838104248047,266.4599914550781,266.9800109863281,263.0,264.9800109863281,127900300
2019-01-22,235.75497436523438,262.8599853515625,265.05999755859375,261.05999755859375,264.82000732421875,115531200
2019-01-23,236.2483367919922,263.4100036621094,264.7900085449219,260.6600036621094,264.010009765625,86030300
2019-01-24,236.3739013671875,263.54998779296875,264.20001220703125,262.0799865722656,263.2099914550781,59204100
2019-01-25,238.3739471435547,265.7799987792969,266.70001220703125,263.6600036621094,265.6099853515625,96883400
2019-01-28,236.56219482421875,263.760009765625,263.8299865722656,261.7900085449219,263.3900146484375,85613700
2019-01-29,236.2483367919922,263.4100036621094,264.54998779296875,262.4800109863281,263.9200134277344,66136300
2019-01-30,239.98829650878906,267.5799865722656,268.5199890136719,264.25,265.1000061035156,92473700
2019-01-31,242.09605407714844,269.92999267578125,270.4700012207031,267.2699890136719,267.510009765625,104012100
2019-02-01,242.21255493164062,270.05999755859375,271.20001220703125,269.17999267578125,270.1499938964844,85782500
2019-02-04,243.9166259765625,271.9599914550781,272.0299987792969,269.3599853515625,270.1099853515625,60744800
2019-02-05,244.93910217285156,273.1000061035156,273.44000244140625,271.8800048828125,272.44000244140625,79552800
2019-02-06,244.61619567871094,272.739990234375,273.3399963378906,271.9200134277344,272.7900085449219,58347800
2019-02-07,242.28440856933594,270.1400146484375,271.54998779296875,268.2900085449219,270.94000244140625,95482000
2019-02-08,242.58030700683594,270.4700012207031,270.5799865722656,267.8299865722656,268.75,75788900
2019-02-11,242.71482849121094,270.6199951171875,271.489990234375,270.0299987792969,271.20001220703125,68021400
2019-02-12,245.83602905273438,274.1000061035156,274.5199890136719,272.3399963378906,272.4200134277344,72270200
2019-02-13,246.6342010498047,274.989990234375,275.92999267578125,274.55999755859375,275.0299987792969,65277200
2019-02-14,246.08712768554688,274.3800048828125,275.6400146484375,272.8699951171875,273.7799987792969,83234400
2019-02-15,248.76889038085938,277.3699951171875,277.4100036621094,276.1300048828125,276.3599853515625,97088700
2019-02-19,249.1993408203125,277.8500061035156,278.5799865722656,276.4700012207031,276.4800109863281,59120800
2019-02-20,249.70159912109375,278.4100036621094,278.9200134277344,277.25,277.80999755859375,76610800
2019-02-21,248.81373596191406,277.4200134277344,278.1000061035156,276.3500061035156,277.70001220703125,64214700
2019-02-22,250.35633850097656,279.1400146484375,279.3599853515625,277.3999938964844,278.1099853515625,78114600
2019-02-25,250.69705200195312,279.5199890136719,281.30999755859375,279.42999267578125,280.7300109863281,69030700
2019-02-26,250.51776123046875,279.32000732421875,280.29998779296875,278.8999938964844,279.1300048828125,56844100
