Date,price,log_return,simple_return,abs_return,sq_return,rv_21d_annualised
2019-01-02,224.3825225830078,,,,,
2019-01-03,219.02818298339844,-0.024151874554240303,-0.023862551940196708,0.024151874554240303,0.0005833130444837602,
2019-01-04,226.3646545410156,0.032946803663986765,0.03349555960190398,0.032946803663986765,0.0010854918716732918,
2019-01-07,228.14944458007812,0.007853658297146663,0.007884579165777561,0.007853658297146663,6.167994864834062e-05,
2019-01-08,230.29296875,0.009351402611439685,0.009395263590788794,0.009351402611439685,8.744873080124097e-05,
2019-01-09,231.3692626953125,0.00466269849234157,0.004673585785768708,0.00466269849234157,2.1740757230484352e-05,
2019-01-10,232.1854553222656,0.0035214547006930212,0.0035276623067599377,0.0035214547006930212,1.2400643209032975e-05,
2019-01-11,232.27511596679688,0.00038608506808737963,0.0003861596085199537,0.00038608506808737963,1.4906167980003656e-07,
2019-01-14,230.8580017089844,-0.00611970349946008,-0.006101016253566516,0.00611970349946008,3.745077092130395e-05,
2019-01-15,233.5037841796875,0.011395473021748889,0.011460648758617964,0.011395473021748889,0.00012985680538940675,
2019-01-16,234.0688934326172,0.002417205089788002,0.002420128885340933,0.002417205089788002,5.842880446097023e-06,
2019-01-17,235.84478759765625,0.007558420584105287,0.007587057549576892,0.007558420584105287,5.712972172622651e-05,
2019-01-18,238.9838409423828,0.013222029537523076,0.013309827097309768,0.013222029537523076,0.0001748220650911327,
2019-01-22,235.75498962402344,-0.013602852341329678,-0.013510751629177364,0.013602852341329678,0.00018503759182001832,
2019-01-23,236.2482757568359,0.002090181778746574,0.0020923677314281797,0.002090181778746574,4.368859868204193e-06,
2019-01-24,236.37388610839844,0.0005315466123056652,0.0005316879082402082,0.0005315466123056652,2.8254180105362916e-07,
2019-01-25,238.37396240234375,0.008425896539727048,0.008461494316796436,0.008425896539727048,7.099573249818424e-05,
2019-01-28,236.5622406005859,-0.007629364020814391,-0.007600334296158917,0.007629364020814391,5.8207195362097126e-05,
2019-01-29,236.2482757568359,-0.0013280791312184092,-0.0013271976244091377,0.0013280791312184092,1.7637941787778446e-06,
2019-01-30,239.98834228515625,0.015707080386941165,0.015831084973377374,0.015707080386941165,0.0002467123742818318,
2019-01-31,242.09597778320312,0.008743901590272574,0.008782241162125226,0.008743901590272574,7.645581502037125e-05,
2019-02-01,242.21261596679688,0.0004816688671397568,0.0004817848882157083,0.0004816688671397568,2.3200489757169667e-07,0.18179494912939342
2019-02-04,243.91665649414065,0.007010676391152124,0.007035308712314947,0.007010676391152124,4.914958346145777e-05,0.15125117827506512
2019-02-05,244.9391632080078,0.00418327107417746,0.0041920331664260235,0.00418327107417746,1.749975688004984e-05,0.11242181687052423
2019-02-06,244.6161651611328,-0.0013195570552519923,-0.0013186868226569004,0.0013195570552519923,1.7412308220653094e-06,0.11269896734282599
2019-02-07,242.2843475341797,-0.009578283010812884,-0.00953255736560632,0.009578283010812884,9.174350543522672e-05,0.11884111471309733
2019-02-08,242.5802764892578,0.0012206664588876389,0.0012214117754196785,0.0012206664588876389,1.4900266038532876e-06,0.11861957180435341
2019-02-11,242.71490478515625,0.0005548305631163585,0.0005549845100634165,0.0005548305631163585,3.078369537680155e-07,0.11866508165622768
2019-02-12,245.83599853515625,0.012777117756959833,0.012859093893564877,0.012777117756959833,0.00016325473817521826,0.12403605717494998
2019-02-13,246.63427734375,0.0032419398565313013,0.0032472006270456433,0.0032419398565313013,1.0510174033366195e-05,0.11981430744809765
2019-02-14,246.0871124267578,-0.002220992038395357,-0.002218527460518316,0.002220992038395357,4.932805634615563e-06,0.1172616758295603
2019-02-15,248.7688446044922,0.010838541569085588,0.01089749134478768,0.010838541569085588,0.00011747398334479627,0.12076375804652212
2019-02-19,249.19927978515625,0.0017287664281432937,0.0017302616063052945,0.0017287664281432937,2.9886333630753216e-06,0.11961357868127512
2019-02-20,249.7015686035156,0.0020135824169994587,0.002015611035442788,0.0020135824169994587,4.054514150049382e-06,0.11323064690177764
2019-02-21,248.81365966796875,-0.0035622176580010164,-0.0035558804877060535,0.0035622176580010164,1.2689394642974246e-05,0.10030213267680457
2019-02-22,250.35630798339844,0.006180873556395175,0.006200014571098311,0.006180873556395175,3.820319792014514e-05,0.10105518008117483
2019-02-25,250.69705200195312,0.0013601109115133451,0.0013610362818470279,0.0013601109115133451,1.8499016916176625e-06,0.10086533751932947
2019-02-26,250.5177764892578,-0.0007153639922436249,-0.0007151081804260828,0.0007153639922436249,5.11745641398737e-07,0.09940282517797931
2019-02-27,250.41012573242188,-0.00042980539920301213,-0.00042971304609418226,0.00042980539920301213,1.8473268118406063e-07,0.09321722114660168
2019-02-28,249.94369506835935,-0.001864403866949665,-0.0018626669456687228,0.001864403866949665,3.476001779096864e-06,0.09352788112071464
2019-03-01,251.50436401367188,0.006224668562367413,0.006244082071706902,0.006224668562367413,3.87464987113252e-05,0.08194127705833953
2019-03-04,250.5895233154297,-0.0036441061471383365,-0.0036374744503139267,0.0036441061471383365,1.3279509611611412e-05,0.08076524499581648
2019-03-05,250.24871826171875,-0.0013609388342219928,-0.0013600131769353485,0.0013609388342219928,1.852154510493517e-06,0.08134891325860509
2019-03-06,248.73294067382812,-0.006075502869663348,-0.006057084321628214,0.006075502869663348,3.691173511928758e-05,0.08290506402654603
2019-03-07,246.65216064453125,-0.008400705878266657,-0.008365518550377593,0.008400705878266657,7.057185925314396e-05,0.087989843967472
2019-03-08,246.1588897705078,-0.0020018667939313553,-0.0019998643950025485,0.0020018667939313553,4.007470660645003e-06,0.08818273150985809
2019-03-11,249.72848510742188,0.014397047292820857,0.014501183931411088,0.014397047292820857,0.00020727497075172038,0.09330661168020636
2019-03-12,250.67022705078125,0.0037639707390117343,0.0037710633729040044,0.0037639707390117343,1.4167475724136542e-05,0.09364624550378386
2019-03-13,252.32943725585935,0.006597285607897209,0.006619095632533822,0.006597285607897209,4.3524177392167645e-05,0.09515443858864431
2019-03-14,252.16798400878903,-0.0006400558091159167,-0.0006398510170916305,0.0006400558091159167,4.096714387830308e-07,0.08671783821343597
2019-03-15,253.41375732421875,0.004928088713756564,0.004940251714850019,0.004928088713756564,2.4286058370654824e-05,0.0874093676621476
2019-03-18,254.33270263671875,0.003619705456641033,0.0036262645019871087,0.003619705456641033,1.310226759283687e-05,0.08679173957985309
2019-03-19,254.3957977294922,0.0002480501605533111,0.0002480809275382523,0.0002480501605533111,6.152888215052341e-08,0.08003099139826253
2019-03-20,253.6300048828125,-0.0030147816223516925,-0.003010241731642105,0.0030147816223516925,9.088908230469504e-06,0.08121355838244793
