Date,Adj Close
2019-01-02,224.3825225830078
2019-01-03,219.02818298339844
2019-01-04,226.3646545410156
2019-01-07,228.14944458007812
2019-01-08,230.29296875
2019-01-09,231.3692626953125
2019-01-10,232.1854553222656
2019-01-11,232.27511596679688
2019-01-14,230.8580017089844
2019-01-15,233.5037841796875
2019-01-16,234.0688934326172
2019-01-17,235.84478759765625
2019-01-18,238.9838409423828
2019-01-22,235.75498962402344
2019-01-23,236.2482757568359
2019-01-24,236.37388610839844
2019-01-25,238.37396240234375
2019-01-28,236.5622406005859
2019-01-29,236.2482757568359
2019-01-30,239.98834228515625
2019-01-31,242.09597778320312
2019-02-01,242.21261596679688
2019-02-04,243.91665649414065
2019-02-05,244.9391632080078
2019-02-06,244.6161651611328
2019-02-07,242.2843475341797
2019-02-08,242.5802764892578
2019-02-11,242.71490478515625
2019-02-12,245.83599853515625
2019-02-13,246.63427734375
2019-02-14,246.0871124267578
2019-02-15,248.7688446044922
2019-02-19,249.19927978515625
2019-02-20,249.7015686035156
2019-02-21,248.81365966796875
2019-02-22,250.35630798339844
2019-02-25,250.69705200195312
2019-02-26,250.5177764892578
2019-02-27,250.41012573242188
2019-02-28,249.94369506835935
2019-03-01,251.50436401367188
2019-03-04,250.5895233154297
2019-03-05,250.24871826171875
2019-03-06,248.73294067382812
2019-03-07,246.65216064453125
2019-03-08,246.1588897705078
2019-03-11,249.72848510742188
2019-03-12,250.67022705078125
2019-03-13,252.32943725585935
2019-03-14,252.16798400878903
2019-03-15,253.41375732421875
2019-03-18,254.33270263671875
2019-03-19,254.3957977294922
2019-03-20,253.6300048828125
2019-03-21,256.4947204589844
2019-03-22,251.55824279785156
2019-03-25,251.36900329589844
2019-03-26,253.2427673339844
2019-03-27,251.91848754882812
2019-03-28,252.87338256835935
2019-03-29,254.4678955078125
2019-04-01,257.4856262207031
2019-04-02,257.6116943359375
2019-04-03,258.0172424316406
2019-04-04,258.7018127441406
2019-04-05,259.9540100097656
2019-04-08,260.1521911621094
2019-04-09,258.81890869140625
2019-04-10,259.7016906738281
2019-04-11,259.6296691894531
2019-04-12,261.3863525390625
2019-04-15,261.2149963378906
2019-04-16,261.3863525390625
2019-04-17,260.7467041015625
2019-04-18,261.2601623535156
2019-04-22,261.4853210449219
2019-04-23,263.8365173339844
2019-04-24,263.25103759765625
2019-04-25,263.08880615234375
2019-04-26,264.3139953613281
2019-04-29,264.72833251953125
2019-04-30,264.8635559082031
2019-05-01,262.8726806640625
2019-05-02,262.3050842285156
2019-05-03,264.8724670410156
2019-05-06,263.782470703125
2019-05-07,259.3774108886719
2019-05-08,259.01702880859375
2019-05-09,258.2332458496094
2019-05-10,259.5304870605469
2019-05-13,253.00851440429688
2019-05-14,255.29660034179688
2019-05-15,256.79205322265625
2019-05-16,259.1702575683594
2019-05-17,257.4947204589844
2019-05-20,255.79209899902344
2019-05-21,258.0981750488281
2019-05-22,257.3053894042969
2019-05-23,254.16159057617188
2019-05-24,254.7380523681641
2019-05-28,252.3688812255859
2019-05-29,250.67535400390625
2019-05-30,251.36001586914065
2019-05-31,247.97279357910156
2019-06-03,247.34217834472656
2019-06-04,252.71121215820312
2019-06-05,254.90017700195312
2019-06-06,256.5576477050781
2019-06-07,259.1251525878906
2019-06-10,260.3143005371094
2019-06-11,260.25115966796875
2019-06-12,259.7917785644531
2019-06-13,260.86370849609375
2019-06-14,260.575439453125
2019-06-17,260.6745910644531
2019-06-18,263.4040832519531
2019-06-19,263.9986267089844
2019-06-20,266.5209655761719
2019-06-21,266.13360595703125
2019-06-24,265.80767822265625
2019-06-25,263.20068359375
2019-06-26,262.93817138671875
2019-06-27,263.8705749511719
2019-06-28,265.22833251953125
2019-07-01,267.63623046875
2019-07-02,268.3333435058594
2019-07-03,270.4786376953125
2019-07-05,270.17083740234375
2019-07-08,268.68634033203125
2019-07-09,269.021240234375
2019-07-10,270.3066101074219
2019-07-11,270.9403381347656
2019-07-12,272.1532897949219
2019-07-15,272.2437744140625
2019-07-16,271.36578369140625
2019-07-17,269.5191650390625
2019-07-18,270.5057678222656
2019-07-19,269.003173828125
2019-07-22,269.6639099121094
2019-07-23,271.5920715332031
2019-07-24,272.86846923828125
2019-07-25,271.56488037109375
2019-07-26,273.3843688964844
2019-07-29,272.886474609375
2019-07-30,272.2166442871094
2019-07-31,269.2384033203125
2019-08-01,266.89398193359375
2019-08-02,264.8843994140625
2019-08-05,256.91851806640625
2019-08-06,260.5212097167969
2019-08-07,260.67510986328125
2019-08-08,265.78955078125
2019-08-09,263.9791564941406
2019-08-12,260.7655944824219
2019-08-13,264.8210144042969
2019-08-14,256.99090576171875
2019-08-15,257.6698303222656
2019-08-16,261.4716796875
2019-08-19,264.6218566894531
2019-08-20,262.59417724609375
2019-08-21,264.73052978515625
2019-08-22,264.6490173339844
2019-08-23,257.8508605957031
2019-08-26,260.7023620605469
2019-08-27,259.679443359375
2019-08-28,261.5079345703125
2019-08-29,264.84814453125
2019-08-30,264.73052978515625
2019-09-03,263.1825866699219
2019-09-04,266.16986083984375
2019-09-05,269.59149169921875
2019-09-06,269.7997131347656
2019-09-09,269.9354553222656
2019-09-10,269.87213134765625
2019-09-11,271.7912292480469
2019-09-12,272.7326354980469
2019-09-13,272.55157470703125
2019-09-16,271.70977783203125
2019-09-17,272.3976135253906
2019-09-18,272.5606384277344
2019-09-19,272.5425109863281
2019-09-20,271.25482177734375
2019-09-23,271.1911926269531
2019-09-24,269.06317138671875
2019-09-25,270.6546325683594
2019-09-26,270.0906982421875
2019-09-27,268.6357727050781
2019-09-30,269.8816223144531
2019-10-01,266.67144775390625
2019-10-02,261.9607238769531
2019-10-03,264.1070556640625
2019-10-04,267.680908203125
2019-10-07,266.5259704589844
2019-10-08,262.38818359375
2019-10-09,264.8798828125
2019-10-10,266.67144775390625
2019-10-11,269.4359130859375
2019-10-14,269.1358947753906
2019-10-15,271.8003845214844
2019-10-16,271.3638916015625
2019-10-17,272.16424560546875
2019-10-18,270.9729309082031
2019-10-21,272.8097839355469
2019-10-22,271.918701171875
2019-10-23,272.7098083496094
2019-10-24,273.1554870605469
2019-10-25,274.27398681640625
2019-10-28,275.81988525390625
2019-10-29,275.7381591796875
2019-10-30,276.5838928222656
2019-10-31,275.8472900390625
2019-11-01,278.40264892578125
2019-11-04,279.5212097167969
2019-11-05,279.2119140625
2019-11-06,279.27569580078125
2019-11-07,280.2578430175781
2019-11-08,280.94891357421875
2019-11-11,280.41241455078125
2019-11-12,281.00360107421875
2019-11-13,281.094482421875
2019-11-14,281.5037536621094
2019-11-15,283.5407409667969
2019-11-18,283.7498779296875
2019-11-19,283.6681213378906
2019-11-20,282.61322021484375
