model,regime,duration_days,mu_log_rv,sigma_log_rv,n_test_days,stress_auc,stress_threshold_vol_pct,n_stress_days,covid_frac_high_regime,n_covid_days
hmm,0,72.52322543239242,-5.196075337006809,0.8724234900863909,1238,0.774673579109063,28.863649455121408,62,0.5,48
hmm,1,1.0068635455961403,-4.017629362262792,1.0753158641529967,1238,0.774673579109063,28.863649455121408,62,0.5,48
hmm,2,1.0006192558642377,-3.885516402690362,1.1472941804851864,1238,0.774673579109063,28.863649455121408,62,0.5,48
iohmm,0,2.0002131298939885,-4.713896800402633,1.1100461052138126,1238,0.7726163045863508,28.863649455121408,62,0.6666666666666666,48
iohmm,1,2.000431826116323,-4.26583921277399,1.2218244020518754,1238,0.7726163045863508,28.863649455121408,62,0.6666666666666666,48
msar,0,1.870947668368105,-4.835005299687377,1.1120293016818332,1238,0.7445276497695853,28.863649455121408,62,0.3958333333333333,48
msar,1,1.4043165592267335,-4.028280288574206,1.1300634609248847,1238,0.7445276497695853,28.863649455121408,62,0.3958333333333333,48
