model,n,rmse_volpct,mae_volpct,qlike,diracc,mz_r2_log
HAR-RV,1238,6.811333979155054,4.222555274339305,0.4275565056766296,0.6806790622473726,0.48741319793928645
Persistence,1238,7.353305815598622,4.856176579031137,0.6106002252488963,0.4583670169765562,0.4324182980677804
HMM,1238,10.094877817700773,6.02188120271599,0.8118494916586863,0.6434923201293452,0.16817932961964624
"GARCH(1,1)",1238,10.7828924928503,8.064439815721743,2.115286777440743,0.5901374292643492,0.25229726512805245
MS-AR,1238,13.630299802870905,9.783184808990914,1.8841442349965472,0.52303961196443,0.07727953194123667
IOHMM,1238,13.737719782087296,5.797881329437279,0.7938782321381292,0.6523848019401779,0.19196047240519448
