model,n,rmse_volpct,mae_volpct,qlike,diracc,mz_r2_log,dm_vs_har_iid,dm_vs_har_hac
HAR-RV h5,1233,2.094755683683758,1.2466755741904632,0.04204327403742427,0.5844155844155844,0.9235201557685824,,
Persistence h5,1233,6.0557366530327466,3.975826137922813,0.3262631196381006,0.42613636363636365,0.5059296366267393,3.7418665245504554,2.044287221279786
HMM h5,1233,8.969222238746351,5.144829643682286,0.514396533999604,0.5202922077922078,0.12519808440841393,3.577097173415627,1.7666612283164838
"GARCH(1,1) h5",1233,9.77819946434925,7.1884596665136735,1.1766805344444113,0.5081168831168831,0.3015112417174535,6.58696556841454,3.1713803068727455
IOHMM h5,1233,10.842331102465412,5.301083886077415,0.5262176046597772,0.525974025974026,0.14379160494942594,1.1379530110474587,1.0644830124790985
MS-AR h5,1233,14.441188982582371,11.888815408055244,3.6223047286287327,0.5040584415584416,0.16050198190227097,4.120218888511256,2.0021624111828147
