state,n_obs,fraction,y_mean,y_std,avg_duration,max_duration
0,779,0.22193732193732194,-2.554115698810445,0.47257127372029134,2.9732824427480917,28
1,1660,0.47293447293447294,-2.14709943789324,0.5027527988174496,3.3001988071570576,21
2,1071,0.30512820512820515,-1.8203720101086058,0.42260088015389313,2.9182561307901906,44
