Date,y,state,p_state_0,p_state_1,p_state_2
2012-01-18,-2.589231666481962,0,0.9998905593140996,0.00010944068575085781,2.1569041764355258e-13
2012-01-19,-2.576583389468688,1,0.3819631295646643,0.5242415993484065,0.09379527108693489
2012-01-20,-2.575378360666206,1,0.3546662759912038,0.5108281195342439,0.1345056044744798
2012-01-23,-2.5753937515213656,1,0.32866314144070047,0.486164162506515,0.1851726960528812
2012-01-24,-2.539062251005805,0,0.4189047076185772,0.3172497139123612,0.2638455784691055
2012-01-25,-2.5470182640027894,1,0.34457131655612894,0.3740618029968666,0.28136688044710345
2012-01-26,-2.4391685292167287,1,0.39205775056114406,0.528122885048381,0.0798193643904261
2012-01-27,-2.4294039287847466,1,0.35153277266906713,0.46103860199121566,0.1874286253397132
2012-01-30,-2.470307099265681,0,0.6035993081764249,0.33455017463558206,0.061850517187933
2012-01-31,-2.470546915573717,0,0.8015401527356915,0.052834326074435216,0.1456255211899341
2012-02-01,-2.552254221005792,0,0.8955897262964179,0.029620403536124038,0.07478987016756579
2012-02-02,-2.5931821393496572,0,0.7262206179585747,0.17732706333275436,0.0964523187086066
2012-02-03,-2.3120646803671594,1,0.38092857967750693,0.38893531002044074,0.23013611030210923
2012-02-06,-2.332454109868744,2,0.29192709522800425,0.3348647862215073,0.3732081185505762
2012-02-07,-2.350488812272601,1,0.30928329160432805,0.3685035044820554,0.3222132039135801
2012-02-08,-2.4104476989675634,1,0.34707736694471186,0.4854519495197388,0.1674706835354944
2012-02-09,-2.514567604929725,1,0.2639283504159919,0.38784884177927836,0.34822280780473336
2012-02-10,-2.3576182677839728,2,0.33272739621030134,0.2839638943119898,0.3833087094776767
2012-02-13,-2.373184741540759,0,0.6439204065286944,0.12796079018079762,0.2281188032906099
2012-02-14,-2.3626546633945886,0,0.6359568182072812,0.22859026559461823,0.13545291619803732
2012-02-15,-2.3538172795424694,0,0.5161385867767782,0.27630629794710115,0.20755511527619022
2012-02-16,-2.2425381556102453,0,0.4219122883461622,0.3735064089712736,0.20458130268248928
2012-02-17,-2.4617871046290514,0,0.7049797874831736,0.23660022682319395,0.058419985693645524
2012-02-21,-2.4684503691636825,1,0.36921623977075685,0.5083160908398682,0.12246766938937885
2012-02-22,-2.434693230737783,1,0.413796447231365,0.5021150134254454,0.08408853934323929
2012-02-23,-2.4207600133490597,0,0.43203108329796946,0.40017203743171686,0.16779687927042108
2012-02-24,-2.418709630025644,1,0.292161909264159,0.46448247159546663,0.243355619140451
2012-02-27,-2.5882250238933766,1,0.27199624696152347,0.49521935158213476,0.23278440145626528
2012-02-28,-2.6686080578585356,1,0.2859414452807848,0.4252068906398813,0.2888516640794359
2012-02-29,-2.6088497039207383,1,0.31111786597994484,0.4741702584089743,0.2147118756111875
2012-03-01,-2.696881404998278,2,0.21345285640907063,0.29643610055787456,0.4901110430330723
2012-03-02,-2.9589939022109095,0,0.8516391940692828,0.028331282043823874,0.120029523886928
2012-03-05,-2.87491755362882,0,0.7971913834358949,0.009948733640031805,0.19285988292403258
