Date,y,state,p_state_0,p_state_1,p_state_2
2012-01-18,-2.589231666481962,0,0.9999999999965894,3.087108302741821e-12,2.1669508322228768e-13
2012-01-19,-2.576583389468688,1,0.3828194012095917,0.5298985497446325,0.08728204904582908
2012-01-20,-2.575378360666206,1,0.3497030226315178,0.5199373219831399,0.13035965538541647
2012-01-23,-2.5753937515213656,1,0.32598975481553216,0.5025311995823895,0.17147904560197752
2012-01-24,-2.539062251005805,0,0.4231797164542692,0.2915153621958796,0.28530492134988344
2012-01-25,-2.5470182640027894,1,0.34313618273033614,0.35448541335356304,0.3023784039161466
2012-01-26,-2.4391685292167287,1,0.36697451558201916,0.5632936262024248,0.06973185821547784
2012-01-27,-2.4294039287847466,1,0.321324453594775,0.4618710158347593,0.21680453057049554
2012-01-30,-2.470307099265681,0,0.6151052391103475,0.30122730505160816,0.0836674558381073
2012-01-31,-2.470546915573717,0,0.7911228143136978,0.0439151454725189,0.16496204021376737
2012-02-01,-2.552254221005792,0,0.8997381580139557,0.027621915841588476,0.07263992614438491
2012-02-02,-2.5931821393496572,0,0.7562446229975154,0.1637948769774741,0.07996050002511812
2012-02-03,-2.3120646803671594,1,0.37626282461946814,0.4326438551879124,0.19109332019264802
2012-02-06,-2.332454109868744,2,0.3042099018562221,0.32988864811139035,0.36590145003233376
2012-02-07,-2.350488812272601,1,0.2986967534876661,0.3928446905492394,0.3084585559630498
2012-02-08,-2.4104476989675634,1,0.34294153084260137,0.5166006623879319,0.14045780676942365
2012-02-09,-2.514567604929725,1,0.2595628531730878,0.38275811304907437,0.3576790337779386
2012-02-10,-2.3576182677839728,2,0.3379970359321371,0.2566118666541963,0.40539109741358115
2012-02-13,-2.373184741540759,0,0.6504736446060636,0.1437069594143919,0.2058193959795063
2012-02-14,-2.3626546633945886,0,0.6427341406358785,0.2460114833706119,0.11125437599352112
2012-02-15,-2.3538172795424694,0,0.5198208539090241,0.3094834569509004,0.17069568914015243
2012-02-16,-2.2425381556102453,0,0.4186500637180595,0.41492519100654784,0.16642474527541357
2012-02-17,-2.4617871046290514,0,0.7270236173569243,0.2266762993197605,0.046300083323324345
2012-02-21,-2.4684503691636825,1,0.35971477705089594,0.5134353379183224,0.12684988503083405
2012-02-22,-2.434693230737783,1,0.40051834494043587,0.5306928815734198,0.06878877348614994
2012-02-23,-2.4207600133490597,1,0.40234785197534695,0.4358967492358671,0.16175539878881073
2012-02-24,-2.418709630025644,1,0.2723040189928514,0.4610547618792957,0.26664121912789757
2012-02-27,-2.5882250238933766,1,0.25511286478183137,0.48626952478063645,0.25861761043760606
2012-02-28,-2.6686080578585356,1,0.2656478042286781,0.43273333996724855,0.301618855804
2012-02-29,-2.6088497039207383,1,0.30619659556820317,0.4799929921181053,0.21381041231376677
